{'t': '26.50', 'h': '51.70', 'time': '1657533761.51'}
{'t': '26.50', 'h': '51.50', 'time': '1657533766.63'}
{'t': '26.50', 'h': '51.60', 'time': '1657533771.75'}
{'t': '26.50', 'h': '51.70', 'time': '1657533776.87'}
{'t': '26.50', 'h': '51.90', 'time': '1657533781.99'}
{'t': '26.50', 'h': '51.80', 'time': '1657533787.11'}
{'t': '26.50', 'h': '51.70', 'time': '1657533792.23'}
{'t': '26.50', 'h': '51.40', 'time': '1657533797.55'}
{'t': '26.50', 'h': '51.40', 'time': '1657533802.67'}
{'t': '26.50', 'h': '51.50', 'time': '1657533807.79'}
{'t': '26.50', 'h': '51.60', 'time': '1657533812.91'}
{'t': '26.50', 'h': '51.70', 'time': '1657533818.03'}
{'t': '26.50', 'h': '51.70', 'time': '1657533823.15'}
{'t': '26.50', 'h': '51.80', 'time': '1657533828.27'}
{'t': '26.50', 'h': '52.20', 'time': '1657533833.5'}
{'t': '26.50', 'h': '52.00', 'time': '1657533838.61'}
{'t': '26.50', 'h': '52.10', 'time': '1657533843.74'}
{'t': '26.50', 'h': '52.00', 'time': '1657533848.85'}
{'t': '26.50', 'h': '51.90', 'time': '1657533853.97'}
{'t': '26.50', 'h': '52.10', 'time': '1657533859.0'}
{'t': '26.50', 'h': '52.30', 'time': '1657533864.11'}
{'t': '26.50', 'h': '52.30', 'time': '1657533869.23'}
{'t': '26.50', 'h': '52.10', 'time': '1657533874.35'}
{'t': '26.50', 'h': '52.10', 'time': '1657533879.58'}
{'t': '26.50', 'h': '52.00', 'time': '1657533884.7'}
{'t': '26.50', 'h': '52.10', 'time': '1657533889.84'}
{'t': '26.50', 'h': '52.10', 'time': '1657533895.28'}
{'t': '26.50', 'h': '52.10', 'time': '1657533900.85'}
{'t': '26.50', 'h': '52.50', 'time': '1657533906.45'}
{'t': '26.50', 'h': '52.30', 'time': '1657533911.53'}
{'t': '26.50', 'h': '52.00', 'time': '1657533916.65'}
{'t': '26.50', 'h': '51.90', 'time': '1657533921.77'}
{'t': '26.50', 'h': '52.10', 'time': '1657533926.89'}
{'t': '26.50', 'h': '52.30', 'time': '1657533932.01'}
{'t': '26.50', 'h': '52.30', 'time': '1657533937.13'}
{'t': '26.50', 'h': '52.20', 'time': '1657533942.25'}
{'t': '26.50', 'h': '52.00', 'time': '1657533947.47'}
{'t': '26.50', 'h': '51.90', 'time': '1657533952.59'}
{'t': '26.50', 'h': '51.70', 'time': '1657533957.71'}
{'t': '26.50', 'h': '51.60', 'time': '1657533962.73'}
{'t': '26.50', 'h': '51.70', 'time': '1657533967.85'}
{'t': '26.50', 'h': '51.80', 'time': '1657533972.97'}
{'t': '26.50', 'h': '51.70', 'time': '1657533978.09'}
{'t': '26.50', 'h': '51.70', 'time': '1657533983.21'}
{'t': '26.50', 'h': '51.70', 'time': '1657533988.33'}
{'t': '26.50', 'h': '51.80', 'time': '1657533993.55'}
{'t': '26.50', 'h': '51.90', 'time': '1657533998.67'}
{'t': '26.50', 'h': '51.80', 'time': '1657534003.79'}
{'t': '26.50', 'h': '51.70', 'time': '1657534008.91'}
{'t': '26.50', 'h': '51.80', 'time': '1657534014.03'}
{'t': '26.50', 'h': '52.10', 'time': '1657534019.15'}
{'t': '26.50', 'h': '51.80', 'time': '1657534024.27'}
{'t': '26.50', 'h': '51.70', 'time': '1657534029.39'}
{'t': '26.50', 'h': '51.80', 'time': '1657534034.52'}
{'t': '26.50', 'h': '52.00', 'time': '1657534039.63'}
{'t': '26.50', 'h': '52.10', 'time': '1657534044.75'}
{'t': '26.50', 'h': '51.90', 'time': '1657534049.87'}
{'t': '26.50', 'h': '52.10', 'time': '1657534054.99'}
{'t': '26.50', 'h': '51.80', 'time': '1657534060.11'}
{'t': '26.50', 'h': '52.00', 'time': '1657534065.23'}
{'t': '26.50', 'h': '52.20', 'time': '1657534070.35'}
{'t': '26.50', 'h': '52.10', 'time': '1657534075.58'}
{'t': '26.50', 'h': '52.20', 'time': '1657534080.7'}
{'t': '26.50', 'h': '52.20', 'time': '1657534085.82'}
{'t': '26.50', 'h': '52.10', 'time': '1657534090.94'}
{'t': '26.50', 'h': '52.20', 'time': '1657534096.05'}
{'t': '26.50', 'h': '52.30', 'time': '1657534101.18'}
{'t': '26.50', 'h': '52.50', 'time': '1657534106.3'}
{'t': '26.50', 'h': '52.80', 'time': '1657534111.52'}
{'t': '26.50', 'h': '52.60', 'time': '1657534116.64'}
{'t': '26.50', 'h': '52.40', 'time': '1657534121.76'}
{'t': '26.50', 'h': '52.50', 'time': '1657534126.88'}
{'t': '26.50', 'h': '52.70', 'time': '1657534132.0'}
{'t': '26.50', 'h': '52.70', 'time': '1657534137.12'}
{'t': '26.50', 'h': '52.70', 'time': '1657534142.14'}
{'t': '26.50', 'h': '52.70', 'time': '1657534147.16'}
{'t': '26.50', 'h': '52.60', 'time': '1657534152.27'}
{'t': '26.50', 'h': '52.70', 'time': '1657534157.3'}
{'t': '26.50', 'h': '52.80', 'time': '1657534162.41'}
{'t': '26.50', 'h': '52.60', 'time': '1657534167.53'}
{'t': '26.50', 'h': '52.60', 'time': '1657534172.65'}
{'t': '26.50', 'h': '52.50', 'time': '1657534177.77'}
{'t': '26.50', 'h': '52.50', 'time': '1657534182.89'}
{'t': '26.50', 'h': '52.50', 'time': '1657534188.01'}
{'t': '26.50', 'h': '52.70', 'time': '1657534193.13'}
{'t': '26.50', 'h': '52.90', 'time': '1657534198.26'}
{'t': '26.50', 'h': '52.60', 'time': '1657534203.37'}
{'t': '26.50', 'h': '52.50', 'time': '1657534208.49'}
{'t': '26.50', 'h': '52.50', 'time': '1657534213.61'}
{'t': '26.50', 'h': '52.60', 'time': '1657534218.73'}
{'t': '26.50', 'h': '52.60', 'time': '1657534223.85'}
{'t': '26.50', 'h': '52.70', 'time': '1657534228.98'}
{'t': '26.50', 'h': '52.90', 'time': '1657534234.09'}
{'t': '26.50', 'h': '52.90', 'time': '1657534239.22'}
{'t': '26.50', 'h': '52.90', 'time': '1657534244.34'}
{'t': '26.50', 'h': '52.80', 'time': '1657534249.46'}
{'t': '26.50', 'h': '52.90', 'time': '1657534254.57'}
{'t': '26.50', 'h': '53.00', 'time': '1657534259.69'}
